Year,tech_do
2016,AngularJS; C#; Java; JavaScript; PHP; SQL; Visual Basic
2016,JavaScript; LAMP; PHP; SQL
2016,Android; C#
2016,Arduino / Raspberry Pi; iOS; JavaScript; Node.js; Objective-C; PHP
2016,C#; JavaScript; SQL; SQL Server; WordPress
2016,C#; SQL; SQL Server; Visual Basic
2016,
2016,Android; Arduino / Raspberry Pi; C; C++; Hadoop; iOS; Java; JavaScript; LAMP; Matlab; Objective-C; Python; Swift; WordPress
2016,AngularJS; JavaScript; PHP
2016,Perl; R
2016,JavaScript; PHP; SQL; WordPress
2016,C; C++; C#; Java; SQL
2016,JavaScript; PHP; WordPress
2016,AngularJS; Java; JavaScript; PHP; Python; SQL; WordPress
2016,C#; JavaScript; PHP; R; SQL Server; Visual Basic; WordPress
2016,
2016,JavaScript; MongoDB; Node.js; Perl; PHP; Redis; SQL
2016,JavaScript; LAMP; PHP; SQL; SQL Server; WordPress
2016,Android; C; C++; C#; iOS; Java; JavaScript; Matlab; Objective-C; PHP; SQL; SQL Server; Visual Basic; WordPress
2016,Android; C++; JavaScript; PHP; SQL
2016,Haskell; Java; JavaScript; Matlab; PHP; SQL; Visual Basic
2016,
2016,JavaScript; PHP; SQL
2016,Android; Java
2016,Android; C; C++; C#; Haskell; Java; MongoDB; Python; SQL; SQL Server; Visual Basic
2016,Android; Arduino / Raspberry Pi; AngularJS; C; C++; iOS; Java; JavaScript; Objective-C; Perl; PHP; SQL; Swift
2016,Android; C; C++; C#; Haskell; Java; Python; SQL
2016,Java
2016,C#; Java
2016,Android
2016,C++; C#
2016,Android; AngularJS; C; C#; CoffeeScript; Haskell; iOS; Java; JavaScript; Objective-C
2016,AngularJS; Java; JavaScript; Ruby
2016,Android; Java; SQL
2016,C#; MongoDB; Redis; SQL; SQL Server
2016,C#; JavaScript; SQL; SQL Server; Visual Basic
2016,C++; Matlab; Python
2016,Java; JavaScript; SQL; SQL Server
2016,
2016,Java
2016,AngularJS; Java
2016,Java; MongoDB; Node.js; PHP; WordPress
2016,Java
