Year,HaveWorkedLanguage,HaveWorkedFramework,HaveWorkedDatabase,HaveWorkedPlatform
2017,C#; Java; JavaScript,AngularJS,MySQL,Windows Desktop
2017,C#; Python; Ruby; SQL,.NET Core,Cassandra; SQL Server; SQLite,Microsoft Azure
2017,C#; JavaScript; SQL; TypeScript,.NET Core,Redis; SQL Server,Amazon Web Services (AWS); Microsoft Azure
2017,C#; CoffeeScript; Java; JavaScript; Objective-C; Python; R; Rust; Swift,React,Redis; MySQL; PostgreSQL; SQLite,Android; iOS; Mac OS; WordPress; Amazon Web Services (AWS)
2017,Java; JavaScript; Perl; Scala,Spark,Cassandra,Linux Desktop
2017,C; C++; C#; Java; JavaScript; Objective-C; SQL; Swift; TypeScript,React; Xamarin; .NET Core,SQL Server; MySQL; PostgreSQL; SQLite,Android; iOS; Windows Phone; Windows Desktop
2017,C; C#; JavaScript; SQL,.NET Core,SQL Server,Windows Desktop
2017,C#; SQL,.NET Core,PostgreSQL,Windows Desktop
2017,C; C++; JavaScript; SQL,AngularJS; Cordova; Xamarin; .NET Core,SQL Server; SQLite,Android; Windows Desktop
2017,JavaScript; PHP; Ruby,Node.js; React,MySQL,WordPress; Amazon Web Services (AWS)
2017,JavaScript,Node.js; React,MongoDB,Raspberry Pi
2017,C#; JavaScript; Python; SQL,AngularJS,SQL Server; MySQL; PostgreSQL; Oracle,Windows Desktop
2017,C#; JavaScript; Ruby; SQL; TypeScript,AngularJS; Node.js; React; .NET Core,MongoDB; SQL Server; MySQL; PostgreSQL,Windows Desktop; Linux Desktop
2017,Clojure; Python; VBA,React,MongoDB; PostgreSQL,Mac OS
2017,C#,.NET Core,Redis,Windows Desktop; Microsoft Azure
2017,C#; JavaScript; Python; SQL; TypeScript,AngularJS,SQL Server; Oracle,Windows Desktop
2017,Java; JavaScript,AngularJS; Node.js; Cordova,MySQL,Android; iOS; Windows Desktop; Linux Desktop
2017,Java; JavaScript; SQL,React,SQL Server; MySQL; Oracle,Mac OS
2017,Assembly; C++; C#; F#; Java; JavaScript; PHP; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,AngularJS; Node.js; Cordova; Xamarin; .NET Core,SQL Server; PostgreSQL; Oracle,Windows Phone; Windows Desktop; Linux Desktop
2017,C#; JavaScript; Perl; Ruby; SQL,AngularJS; Node.js; .NET Core,Redis; MySQL,Amazon Web Services (AWS)
2017,Clojure; JavaScript; Ruby,React,Redis; PostgreSQL,Mac OS; Amazon Web Services (AWS)
2017,C++; C#; Java; JavaScript; Scala; SQL,.NET Core,SQL Server,Android; Windows Desktop; Microsoft Azure
2017,C#; JavaScript; SQL; VB.NET,.NET Core,SQL Server; Oracle,Windows Desktop
2017,Java; JavaScript; Matlab; SQL,AngularJS,SQL Server; MySQL,Windows Desktop
2017,CoffeeScript; Java; JavaScript; Perl; PHP; Ruby,AngularJS; Node.js,MySQL; PostgreSQL,Windows Desktop; Linux Desktop; Raspberry Pi; WordPress; Amazon Web Services (AWS)
2017,JavaScript; Ruby,React,Redis; PostgreSQL,Amazon Web Services (AWS)
2017,C#,.NET Core,SQL Server,Windows Desktop
2017,C#; JavaScript; SQL; TypeScript,AngularJS; Node.js; React; Xamarin,SQL Server,Serverless; SharePoint; Microsoft Azure
2017,C; C++; CoffeeScript; Common Lisp; JavaScript; Objective-C; PHP; Python; Ruby; Swift; TypeScript,AngularJS; Node.js; React,MongoDB,Android; iOS; Linux Desktop; Mac OS; WordPress
2017,JavaScript,Node.js; React,MongoDB; Redis,Amazon Web Services (AWS)
2017,C#; F#; JavaScript; SQL; TypeScript,AngularJS; .NET Core,SQL Server,Windows Desktop; Microsoft Azure
2017,Java; Python; Ruby; SQL,AngularJS,MySQL; Oracle,Linux Desktop; Mac OS; Arduino; Raspberry Pi
2017,C#; SQL; Visual Basic 6,.NET Core,SQL Server,Windows Desktop
2017,C#; F#; JavaScript; PHP; SQL,Node.js; React; .NET Core,Cassandra; SQL Server; PostgreSQL,Android; Windows Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,C++; C#; Java,.NET Core,Cassandra; MySQL,Amazon Web Services (AWS)
2017,Clojure; Java; JavaScript; Perl; Python; Scala; SQL,AngularJS; React,Redis; PostgreSQL,Mac OS; Amazon Web Services (AWS)
2017,C; C++; C#; Clojure; JavaScript; SQL; TypeScript,AngularJS; Node.js; .NET Core,SQL Server; Oracle,Windows Desktop; Microsoft Azure
2017,C#; JavaScript; Python,.NET Core,SQL Server,Microsoft Azure
2017,Java; JavaScript,AngularJS; Node.js,MongoDB; MySQL,Android; Amazon Web Services (AWS)
2017,C; C++; C#; JavaScript; Lua; Objective-C; Python; SQL; TypeScript,AngularJS; Node.js; Cordova; Xamarin,MongoDB; SQL Server,iOS; Windows Desktop; Mac OS; Microsoft Azure
2017,C; C#; Java; JavaScript; Python; SQL; VB.NET,Node.js,SQL Server; PostgreSQL,Windows Desktop; Microsoft Azure
2017,JavaScript; PHP,Cordova,SQL Server; MySQL; SQLite,Android; Windows Desktop
2017,C; C++; Python; Ruby,AngularJS,MongoDB; Redis,Linux Desktop; Raspberry Pi
2017,Clojure; Java; Lua; Rust,React,Redis; MySQL,Android
2017,C#; JavaScript; SQL,Xamarin,SQL Server,SharePoint; Microsoft Azure
2017,JavaScript; PHP; SQL,Node.js,SQL Server; MySQL,WordPress
2017,JavaScript; PHP; SQL,AngularJS; React; Cordova,Redis; MySQL,WordPress
2017,C#; JavaScript; PHP; SQL,AngularJS,SQL Server; MySQL,Microsoft Azure
2017,Erlang; JavaScript; Scala,AngularJS; Node.js; Spark,MongoDB,Linux Desktop
2017,C#; JavaScript; Python; TypeScript,AngularJS; Node.js,MySQL; SQLite,Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,Go; JavaScript; PHP; SQL,React,Redis; MySQL,WordPress; Amazon Web Services (AWS)
2017,C#; JavaScript; SQL; VB.NET,React; .NET Core,SQL Server,Windows Desktop; Microsoft Azure
2017,C#; Java; JavaScript; Perl; PHP; Python; SQL,Node.js; .NET Core,SQL Server; MySQL,Windows Desktop; Linux Desktop; WordPress; Amazon Web Services (AWS)
2017,Java; JavaScript; Python,AngularJS,SQL Server,Salesforce
2017,Java; JavaScript; PHP; Scala; SQL,AngularJS; Hadoop; Spark,Redis; MySQL,Amazon Web Services (AWS)
2017,C,AngularJS; Node.js,MySQL; SQLite,Android
2017,Elixir; Go; Java; Python; Ruby; Scala,Hadoop,Redis; PostgreSQL,Linux Desktop; Amazon Web Services (AWS)
2017,C#; Java; JavaScript; Python; SQL; Visual Basic 6,AngularJS; React; Spark; Firebase,MongoDB; SQL Server; MySQL; PostgreSQL,Android; Windows Phone; Serverless
2017,Java; JavaScript; Python; SQL; TypeScript,AngularJS; Node.js; React,Redis; SQL Server; PostgreSQL,Raspberry Pi; Amazon Web Services (AWS)
2017,C++; Java; JavaScript; PHP; SQL,AngularJS; Node.js,MySQL; Oracle,Windows Desktop; Linux Desktop; Amazon Web Services (AWS)
2017,Java; SQL,Hadoop; Spark,Oracle,Linux Desktop
2017,C++; C#; CoffeeScript; Go; JavaScript; Ruby; SQL; TypeScript,AngularJS; Node.js; .NET Core,MongoDB; Redis; SQL Server; SQLite,Windows Desktop; Linux Desktop; SharePoint; Microsoft Azure
2017,Assembly; C; C++; Go; JavaScript; Perl; PHP; SQL; TypeScript,AngularJS,MySQL; PostgreSQL,Android; Arduino
2017,C#; JavaScript; PHP; SQL; VB.NET,AngularJS; React; Xamarin,SQL Server,WordPress; Microsoft Azure
2017,C#; R; SQL,.NET Core,SQL Server,Windows Desktop; Mac OS; Microsoft Azure
2017,JavaScript; PHP; SQL,AngularJS,SQL Server; MySQL; SQLite,WordPress
2017,C#; Go; Java; JavaScript; Python; Scala,Node.js; React,MongoDB,Raspberry Pi; SharePoint
2017,Clojure; Groovy; Java; Scala,Spark,Cassandra,Amazon Web Services (AWS)
2017,C#; Python; R; Scala; SQL,Hadoop; Node.js; Spark,Redis; SQL Server; MySQL; PostgreSQL,Mac OS; Amazon Web Services (AWS); Microsoft Azure
2017,Elixir; Java; Python; SQL,Hadoop; Spark,Redis; PostgreSQL,Amazon Web Services (AWS)
2017,C#; JavaScript; SQL; VB.NET,Xamarin,SQL Server; SQLite,Android; iOS; Windows Desktop
2017,CoffeeScript; Java; JavaScript; PHP; Swift,AngularJS,MySQL,Mac OS
2017,C#; JavaScript; PHP; SQL; TypeScript,React; .NET Core,SQL Server; MySQL,WordPress; Microsoft Azure
2017,C#; JavaScript; PHP; SQL,AngularJS; Node.js; .NET Core,SQL Server; MySQL; Oracle; SQLite,Linux Desktop; Raspberry Pi; Microsoft Azure
2017,C#; SQL,Xamarin; .NET Core,SQL Server; Oracle; SQLite,Windows Desktop
2017,C#,Node.js; .NET Core,SQL Server,Arduino; Raspberry Pi; Microsoft Azure
2017,JavaScript; Python; SQL; VB.NET,Node.js; .NET Core,SQL Server,Windows Desktop
2017,Assembly; C; CoffeeScript; Java; JavaScript,Node.js; Firebase,MySQL,Android; Arduino; Raspberry Pi
2017,Java; Python; SQL,Hadoop; Spark,PostgreSQL,Amazon Web Services (AWS)
